Name,Team,Position,PPR Value,0.5 PPR Value,SF Value,TEP+ Value,TEP++ Value,TEP+++ Value,PPR Tier,0.5 PPR Tier,SF Tier,TEP+ Tier,TEP++ Tier,TEP+++ Tier,Rookie
Josh Jacobs,,RB,7200,7400,7200,7200,7200,7200,5,5,5,5,5,5,
Brock Bowers,,TE,7100,7100,7100,7400,7850,9100,6,6,6,5,4,2,
Trey McBride,,TE,7000,7000,7057,7400,7850,9100,6,6,6,5,4,2,
Ladd McConkey,,WR,6900,6900,7014,6900,6900,6900,6,6,6,6,6,6,
Emeka Egbuka,,WR,6800,6800,6971,6800,6800,6800,6,6,6,6,6,6,
George Pickens,,WR,6700,6700,6700,6700,6700,6700,7,7,7,7,7,7,
Chris Olave,,WR,6662,6664,6667,6662,6662,6662,7,7,7,7,7,7,
DeVonta Smith,,WR,6623,6557,6633,6623,6623,6623,7,7,7,7,7,7,
Tetairoa McMillan,,WR,6585,6521,6600,6585,6585,6585,7,7,7,7,7,7,
Cam Skattebo,,RB,6546,6629,6567,6546,6546,6546,7,7,7,7,7,7,
Garrett Wilson,,WR,6508,6486,6533,6508,6508,6508,7,7,7,7,7,7,
Kyren Williams,,RB,6469,6593,6500,6469,6469,6469,7,7,7,7,7,7,
Travis Etienne,,RB,6431,6450,6467,6431,6431,6431,7,7,7,7,7,7,
Zay Flowers,,WR,6392,6414,6433,6392,6392,6392,7,7,7,7,7,7,
Bucky Irving,,RB,6354,6379,6400,6354,6354,6354,7,7,7,7,7,7,
David Montgomery,,RB,6315,6343,6367,6315,6315,6315,7,7,7,7,7,7,
Lamar Jackson,,QB,6277,6307,9575,6277,6277,6277,7,7,1,7,7,7,
Josh Allen,,QB,6238,6271,9500,6238,6238,6238,7,7,1,7,7,7,
Jeremiyah Love,,RB,6200,6236,6333,6200,6200,6200,7,7,7,7,7,7,
Colston Loveland,,TE,6100,6100,6100,6450,6950,7850,8,8,8,7,6,4,
Luther Burden,,WR,6064,6062,6064,6064,6064,6064,8,8,8,8,8,8,
Javonte Williams,,RB,6029,6200,6029,6029,6029,6029,8,7,8,8,8,8,
Jaylen Waddle,,WR,5993,6023,5993,5993,5993,5993,8,8,8,8,8,8,
Terry McLaurin,,WR,5957,5985,5957,5957,5957,5957,8,8,8,8,8,8,
Tee Higgins,,WR,5921,5946,5921,5921,5921,5921,8,8,8,8,8,8,
Jadarian Price,,RB,5886,5908,5886,5886,5886,5886,8,8,8,8,8,8,
Tucker Kraft,,TE,5850,5869,5850,6450,6950,7850,8,8,8,7,6,4,
Tyler Warren,,TE,5814,5831,5814,6450,6950,7850,8,8,8,7,6,4,
DJ Moore,,WR,5779,5792,5779,5779,5779,5779,8,8,8,8,8,8,
Jayden Daniels,,QB,5743,5754,8900,5743,5743,5743,8,8,2,8,8,8,
Quinshon Judkins,,RB,5707,5715,5743,5707,5707,5707,8,8,8,8,8,8,
Brian Thomas Jr.,,WR,5671,5677,5707,5671,5671,5671,8,8,8,8,8,8,
Marvin Harrison Jr.,,WR,5636,5638,5671,5636,5636,5636,8,8,8,8,8,8,
Rome Odunze,,WR,5600,5600,5636,5600,5600,5600,8,8,8,8,8,8,
Carnell Tate,,WR,5500,5500,5500,5500,5500,5500,9,9,9,9,9,9,
Mike Evans,,WR,5467,5467,5471,5467,5467,5467,9,9,9,9,9,9,
Jameson Williams,,WR,5433,5433,5443,5433,5433,5433,9,9,9,9,9,9,
Davante Adams,,WR,5400,5400,5414,5400,5400,5400,9,9,9,9,9,9,
D'Andre Swift,,RB,5367,5367,5386,5367,5367,5367,9,9,9,9,9,9,
Christian Watson,,WR,5333,5333,5357,5333,5333,5333,9,9,9,9,9,9,
TreVeyon Henderson,,RB,5300,5300,5329,5300,5300,5300,9,9,9,9,9,9,
Drake Maye,,QB,5267,5267,8300,5267,5267,5267,9,9,3,9,9,9,
Joe Burrow,,QB,5233,5233,8250,5233,5233,5233,9,9,3,9,9,9,
Jalen Hurts,,QB,5200,5200,8200,5200,5200,5200,9,9,3,9,9,9,
Sam LaPorta,,TE,5167,5167,5300,5850,6450,7400,9,9,9,8,7,5,
Kyle Pitts,,TE,5133,5133,5271,5850,6450,7400,9,9,9,8,7,5,
Tony Pollard,,RB,5100,5100,5243,5100,5100,5100,9,9,9,9,9,9,
Jaylen Warren,,RB,5000,5000,5000,5000,5000,5000,10,10,10,10,10,10,
Bhayshul Tuten,,RB,4969,4967,4967,4969,4969,4969,10,10,10,10,10,10,
Michael Wilson,,WR,4938,4933,4933,4938,4938,4938,10,10,10,10,10,10,
George Kittle,,TE,4908,4900,4900,5300,5850,6950,10,10,10,9,8,6,
Jordyn Tyson,,WR,4877,2675,4867,4877,4877,4877,10,14,10,10,10,10,
Wan'Dale Robinson,,WR,4846,4867,4833,4846,4846,4846,10,10,10,10,10,10,
Dak Prescott,,QB,4815,4833,6929,4815,4815,4815,10,10,6,10,10,10,
Harold Fannin Jr.,,TE,4785,4800,4800,5300,5850,6950,10,10,10,9,8,6,
Makai Lemon,,WR,4754,4767,4767,4754,4754,4754,10,10,10,10,10,10,
DK Metcalf,,WR,4723,4733,4733,4723,4723,4723,10,10,10,10,10,10,
Matthew Stafford,,QB,4692,4700,6843,4692,4692,4692,10,10,6,10,10,10,
Caleb Williams,,QB,4662,4667,6886,4662,4662,4662,10,10,6,10,10,10,
Jaxson Dart,,QB,4631,4633,6800,4631,4631,4631,10,10,6,10,10,10,
Parker Washington,,WR,4600,4600,4700,4600,4600,4600,10,10,10,10,10,10,
Jordan Mason,,RB,4500,4500,4500,4500,4500,4500,11,11,11,11,11,11,
Blake Corum,,RB,4467,4471,4469,4467,4467,4467,11,11,11,11,11,11,
Kyle Monangai,,RB,4433,4443,4438,4433,4433,4433,11,11,11,11,11,11,
Rico Dowdle,,RB,4400,4414,4408,4400,4400,4400,11,11,11,11,11,11,
RJ Harvey,,RB,4367,4386,4377,4367,4367,4367,11,11,11,11,11,11,
Courtland Sutton,,WR,4333,4357,4346,4333,4333,4333,11,11,11,11,11,11,
Alec Pierce,,WR,4300,4329,4315,4300,4300,4300,11,11,11,11,11,11,
Rhamondre Stevenson,,RB,4267,4300,4285,4267,4267,4267,11,11,11,11,11,11,
Chuba Hubbard,,RB,4233,4271,4254,4233,4233,4233,11,11,11,11,11,11,
Justin Herbert,,QB,4200,4243,6300,4200,4200,4200,11,11,7,11,11,11,
Trevor Lawrence,,QB,4167,4214,6267,4167,4167,4167,11,11,7,11,11,11,
Patrick Mahomes,,QB,4133,4186,6233,4133,4133,4133,11,11,7,11,11,11,
Jared Goff,,QB,4100,4157,6200,4100,4100,4100,11,11,7,11,11,11,
Kyler Murray,,QB,4000,4000,5650,4000,4000,4000,12,12,8,12,12,12,
Jordan Addison,,WR,3975,3967,3975,3975,3975,3975,12,12,12,12,12,12,
Quentin Johnston,,WR,3950,3933,3950,3950,3950,3950,12,12,12,12,12,12,
Jayden Reed,,WR,3925,3900,3925,3925,3925,3925,12,12,12,12,12,12,
Chris Godwin,,WR,3900,3867,3900,3900,3900,3900,12,12,12,12,12,12,
Michael Pittman,,WR,3875,3833,3875,3875,3875,3875,12,12,12,12,12,12,
Jonathon Brooks,,RB,3850,4129,3850,3850,3850,3850,12,11,12,12,12,12,
Jacory Croskey-Merritt,,RB,3825,3800,3825,3825,3825,3825,12,12,12,12,12,12,
Rachaad White,,RB,3800,3483,3800,3800,3800,3800,12,13,12,12,12,12,
Kenneth Gainwell,,RB,3775,3500,3775,3775,3775,3775,12,13,12,12,12,12,
JK Dobbins,,RB,3750,3767,3750,3750,3750,3750,12,12,12,12,12,12,
Jonah Coleman,,RB,3725,4100,3725,3725,3725,3725,12,11,12,12,12,12,
Isaiah Likely,,TE,3700,3733,3700,4300,4800,5850,12,12,12,11,10,8,
Xavier Worthy,,WR,3675,3700,3675,3675,3675,3675,12,12,12,12,12,12,
Josh Downs,,WR,3650,3667,3650,3650,3650,3650,12,12,12,12,12,12,
Romeo Doubs,,WR,3625,3633,3625,3625,3625,3625,12,12,12,12,12,12,
Aaron Jones,,RB,3600,3600,3600,3600,3600,3600,12,12,12,12,12,12,
Baker Mayfield,,QB,3500,3467,5214,3500,3500,3500,13,13,9,13,13,13,
Malik Willis,,QB,3482,3450,5186,3482,3482,3482,13,13,9,13,13,13,
Bo Nix,,QB,3464,3433,5157,3464,3464,3464,13,13,9,13,13,13,
Brock Purdy,,QB,3446,3417,5129,3446,3446,3446,13,13,9,13,13,13,
Jordan Love,,QB,3429,3400,5100,3429,3429,3429,13,13,9,13,13,13,
Matthew Golden,,WR,3411,3383,3500,3411,3411,3411,13,13,13,13,13,13,
KC Concepcion,,WR,3393,3367,3479,3393,3393,3393,13,13,13,13,13,13,
David Boston,,WR,3375,3350,3458,3375,3375,3375,13,13,13,13,13,13,
Travis Hunter,,WR,3357,3333,3438,3357,3357,3357,13,13,13,13,13,13,
Mark Andrews,,TE,3339,3317,3417,3800,4300,5300,13,13,13,12,11,9,
Travis Kelce,,TE,3321,3300,3396,3800,4300,5300,13,13,13,12,11,9,
Dallas Goedert,,TE,3304,3283,3375,3800,4300,5300,13,13,13,12,11,9,
Stefon Diggs,,WR,3286,3267,3354,3286,3286,3286,13,13,13,13,13,13,
Deebo Samuel,,WR,3268,3250,3333,3268,3268,3268,13,13,13,13,13,13,
Khalil Shakir,,WR,3250,3233,3312,3250,3250,3250,13,13,13,13,13,13,
Jakobi Meyers,,WR,3232,3217,3292,3232,3232,3232,13,13,13,13,13,13,
Jalen Coker,,WR,3214,3200,3271,3214,3214,3214,13,13,13,13,13,13,
Dalton Kincaid,,TE,3196,3183,3250,3800,4300,5300,13,13,13,12,11,9,
Jake Ferguson,,TE,3179,3167,3229,3800,4300,5300,13,13,13,12,11,9,
Hunter Henry,,TE,3161,3150,3208,3800,4300,5300,13,13,13,12,11,9,
Oronde Gadsden II,,TE,3143,3133,3188,3800,4300,5300,13,13,13,12,11,9,
Juwan Johnson,,TE,3125,3117,3167,3800,4300,5300,13,13,13,12,11,9,
Mike Washington Jr.,,WR,3107,3100,3146,3107,3107,3107,13,13,13,13,13,13,
Tyrone Tracy Jr.,,RB,3089,3083,3125,3089,3089,3089,13,13,13,13,13,13,
Brian Robinson Jr.,,RB,3071,3067,3104,3071,3071,3071,13,13,13,13,13,13,
Tyler Allgeier,,RB,3054,3050,3083,3054,3054,3054,13,13,13,13,13,13,
Zach Charbonnet,,RB,3036,3033,3062,3036,3036,3036,13,13,13,13,13,13,
Woody Marks,,RB,3018,3017,3042,3018,3018,3018,13,13,13,13,13,13,
Tank Bigsby,,RB,3000,3000,3021,3000,3000,3000,13,13,13,13,13,13,
De'Zhaun Stribling,,WR,2900,2900,2900,2900,2900,2900,14,14,14,14,14,14,
Zachariah Branch,,WR,2885,2885,2885,2885,2885,2885,14,14,14,14,14,14,
Tank Dell,,WR,2869,2870,2869,2869,2869,2869,14,14,14,14,14,14,
Jalen Nailor,,WR,2854,2855,2854,2854,2854,2854,14,14,14,14,14,14,
CJ Stroud,,QB,2839,2840,4667,2839,2839,2839,14,14,10,14,14,14,
Tyler Shough,,QB,2824,2825,4633,2824,2824,2824,14,14,10,14,14,14,
Daniel Jones,,QB,2808,2810,4600,2808,2808,2808,14,14,10,14,14,14,
Nicholas Singleton,,RB,2793,2795,2824,2793,2793,2793,14,14,14,14,14,14,
Dylan Sampson,,RB,2778,2780,2808,2778,2778,2778,14,14,14,14,14,14,
Emmett Johnson,,RB,2763,2765,2793,2763,2763,2763,14,14,14,14,14,14,
Ray Davis,,RB,2747,2750,2778,2747,2747,2747,14,14,14,14,14,14,
Jordan James,,RB,2732,2735,2763,2732,2732,2732,14,14,14,14,14,14,
Isiah Pacheco,,RB,2717,2720,2747,2717,2717,2717,14,14,14,14,14,14,
Alvin Kamara,,RB,2702,2705,2732,2702,2702,2702,14,14,14,14,14,14,
Chris Rodriguez Jr.,,RB,2686,2690,2717,2686,2686,2686,14,14,14,14,14,14,
Omar Cooper Jr.,,WR,2671,2660,2702,2671,2671,2671,14,14,14,14,14,14,
Jalen McMillan,,WR,2656,2645,2686,2656,2656,2656,14,14,14,14,14,14,
Ryan Flournoy,,WR,2641,2630,2671,2641,2641,2641,14,14,14,14,14,14,
Keenan Allen,,WR,2625,2615,2656,2625,2625,2625,14,14,14,14,14,14,
Jaylin Noel,,WR,2610,2600,2641,2610,2610,2610,14,14,14,14,14,14,
Rashid Shaheed,,WR,2595,2585,2625,2595,2595,2595,14,14,14,14,14,14,
TJ Hockenson,,TE,2580,2570,2610,3250,3800,4800,14,14,14,13,12,10,
Kaytron Allen,,RB,2564,2555,2595,2564,2564,2564,14,14,14,14,14,14,
Keaton Mitchell,,RB,2549,2540,2580,2549,2549,2549,14,14,14,14,14,14,
Tyjae Spears,,RB,2534,2525,2564,2534,2534,2534,14,14,14,14,14,14,
Dalton Schultz,,TE,2519,2510,2549,3250,3800,4800,14,14,14,13,12,10,
Greg Dulcich,,TE,2503,2495,2534,3250,3800,4800,14,14,14,13,12,10,
Brenton Strange,,TE,2488,2480,2519,3250,3800,4800,14,14,14,13,12,10,
Chig Okonkwo,,TE,2473,2465,2503,3250,3800,4800,14,14,14,13,12,10,
Jerry Jeudy,,WR,2458,2450,2488,2458,2458,2458,14,14,14,14,14,14,
Kenyon Sadiq,,WR,2442,2435,2473,2442,2442,2442,14,14,14,14,14,14,
James Conner,,RB,2427,2420,2458,2427,2427,2427,14,14,14,14,14,14,
Tre Harris,,WR,2412,2405,2442,2412,2412,2412,14,14,14,14,14,14,
Kayshon Boutte,,WR,2397,2390,2427,2397,2397,2397,14,14,14,14,14,14,
Tre Tucker,,WR,2381,2375,2412,2381,2381,2381,14,14,14,14,14,14,
Adonai Mitchell,,WR,2366,2360,2397,2366,2366,2366,14,14,14,14,14,14,
Cam Ward,,QB,2351,2345,4223,2351,2351,2351,14,14,11,14,14,14,
Sam Darnold,,QB,2336,2330,4192,2336,2336,2336,14,14,11,14,14,14,
Bryce Young,,QB,2320,2315,4162,2320,2320,2320,14,14,11,14,14,14,
Aaron Rodgers,,QB,2305,2300,4131,2305,2305,2305,14,14,11,14,14,14,
Antonio Williams,,RB,2290,2285,2381,2290,2290,2290,14,14,14,14,14,14,
Ja'Kobi Lane,,WR,2275,2270,2366,2275,2275,2275,14,14,14,14,14,14,
Tyreek Hill,,WR,2259,2255,2351,2259,2259,2259,14,14,14,14,14,14,
Calvin Ridley,,WR,2244,2240,2336,2244,2244,2244,14,14,14,14,14,14,
Jauan Jennings,,WR,2229,2225,2320,2229,2229,2229,14,14,14,14,14,14,
Darnell Mooney,,WR,2214,2210,2305,2214,2214,2214,14,14,14,14,14,14,
Troy Franklin,,WR,2198,2195,2290,2198,2198,2198,14,14,14,14,14,14,
Demond Claiborne,,RB,2183,2180,2275,2183,2183,2183,14,14,14,14,14,14,
Justice Hill,,RB,2168,2165,2259,2168,2168,2168,14,14,14,14,14,14,
Sean Tucker,,RB,2153,2150,2244,2153,2153,2153,14,14,14,14,14,14,
Jaydon Blue,,RB,2137,2135,2229,2137,2137,2137,14,14,14,14,14,14,
Jaylen Wright,,RB,2122,2120,2214,2122,2122,2122,14,14,14,14,14,14,
Braelon Allen,,RB,2107,2105,2198,2107,2107,2107,14,14,14,14,14,14,
Kaelon Black,,RB,2092,2090,2183,2092,2092,2092,14,14,14,14,14,14,
Kimani Vidal,,RB,2076,2075,2168,2076,2076,2076,14,14,14,14,14,14,
Marshawn Lloyd,,RB,2061,2060,2153,2061,2061,2061,14,14,14,14,14,14,
Cade Otton,,TE,2046,2045,2137,3250,3800,4800,14,14,14,13,12,10,
AJ Barner,,RB,2031,2030,2122,2031,2031,2031,14,14,14,14,14,14,
Terrance Ferguson,,TE,2015,2015,2107,3250,3800,4800,14,14,14,13,12,10,
Mason Taylor,,TE,2000,2000,2092,3250,3800,4800,14,14,14,13,12,10,
Jacoby Brissett,,QB,1900,1900,3000,1900,1900,1900,15,15,13,15,15,15,
Dontayvion Wicks,,WR,1861,1861,1900,1861,1861,1861,15,15,15,15,15,15,
Isaac TeSlaa,,WR,1822,1822,1856,1822,1822,1822,15,15,15,15,15,15,
Rashod Bateman,,WR,1783,1783,1812,1783,1783,1783,15,15,15,15,15,15,
Trey Benson,,RB,1744,1744,1769,1744,1744,1744,15,15,15,15,15,15,
George Holani,,RB,1706,1706,1725,1706,1706,1706,15,15,15,15,15,15,
Emanuel Wilson,,RB,1667,1667,1681,1667,1667,1667,15,15,15,15,15,15,
Fernando Mendoza,,QB,1628,1628,2839,1628,1628,1628,15,15,14,15,15,15,
Germie Bernard,,WR,1589,1589,1638,1589,1589,1589,15,15,15,15,15,15,
Kyle Williams,,WR,1550,1550,1594,1550,1550,1550,15,15,15,15,15,15,
Christian Kirk,,WR,1511,1511,1550,1511,1511,1511,15,15,15,15,15,15,
Cooper Kupp,,WR,1472,1472,1506,1472,1472,1472,15,15,15,15,15,15,
Malik Washington,,WR,1433,1433,1462,1433,1433,1433,15,15,15,15,15,15,
Caleb Douglas,,WR,1394,1394,1419,1394,1394,1394,15,15,15,15,15,15,
Colby Parkinson,,TE,1356,1356,1375,2450,3250,4300,15,15,15,14,13,11,
Gunnar Helm,,TE,1317,1317,1331,2450,3250,4300,15,15,15,14,13,11,
Pat Freiermuth,,TE,1278,1278,1288,2450,3250,4300,15,15,15,14,13,11,
David Njoku,,TE,1239,1239,1244,2450,3250,4300,15,15,15,14,13,11,
Eli Stowers,,TE,1200,1200,1200,2450,3250,4300,15,15,15,14,13,11,
Ted Hurst III,,TE,1100,1100,1100,1550,2450,3800,16,16,16,15,14,12,
Shedeur Sanders,,QB,967,967,2076,967,967,967,16,16,14,16,16,16,
Brandon Aiyuk,,WR,833,833,900,833,833,833,16,16,16,16,16,16,
Samaje Perine,,RB,700,700,700,700,700,700,16,16,16,16,16,16,
Geno Smith,,QB,4100,4100,4100,4100,4100,4100,11,11,11,11,11,11,
Tua Tagovailoa,,QB,2061,2061,2061,2061,2061,2061,14,14,14,14,14,14,
JJ McCarthy,,QB,2046,2046,2046,2046,2046,2046,14,14,14,14,14,14,
Kirk Cousins,,QB,2031,2031,2031,2031,2031,2031,14,14,14,14,14,14,
Michael Penix,,QB,2015,2015,2015,2015,2015,2015,14,14,14,14,14,14,
Deshaun Watson,,QB,2000,2000,2000,2000,2000,2000,14,14,14,14,14,14,
